"region","value"
"alabama",4777326
"alaska",711139
"arizona",6410979
"arkansas",2916372
"california",37325068
"colorado",5042853
"connecticut",3572213
"delaware",900131
"district of columbia",605759
"florida",18885152
"georgia",9714569
"hawaii",1362730
"idaho",1567803
"illinois",12823860
"indiana",6485530
"iowa",3047646
"kansas",2851183
"kentucky",4340167
"louisiana",4529605
"maine",1329084
"maryland",5785496
"massachusetts",6560595
"michigan",9897264
"minnesota",5313081
"mississippi",2967620
"missouri",5982413
"montana",990785
"nebraska",1827306
"nevada",2704204
"new hampshire",1317474
"new jersey",8793888
"new mexico",2055287
"new york",19398125
"north carolina",9544249
"north dakota",676253
"ohio",11533561
"oklahoma",3749005
"oregon",3836628
"pennsylvania",12699589
"rhode island",1052471
"south carolina",4630351
"south dakota",815871
"tennessee",6353226
"texas",25208897
"utah",2766233
"vermont",625498
"virginia",8014955
"washington",6738714
"west virginia",1850481
"wisconsin",5687219
"wyoming",562803
